;reparar;naprawiać ;;;
;repartir;rozdawać;;;
;repetir ;powtarzać ;;;
;repostar;tankować;;;
;reprochar;robić wyrzuty, wymówki;;;
;reservar ;rezerwować;;;
;resonar;rozbrzmiewać;;;
;respirar ;oddychać;;;
;restar;odejmować;;;
;retener;zatrzymać, wstrzymać;;;
;revocar;uchylać (np. prawo);;;
;rezar;modlić się;;;
;rizar;kręcić, podkręcać;;;
;robar , mangar;kraść ;;;
;rodar;toczyć się, kręcić się;;;
;rogar , suplicar;błagać;;;
;roncar;chrapać;;;
;rugir , rebuznar;ryczeć ;;;
;saber ;wiedzieć, umieć, znać się;;;
;sacar ;wyjmować;;;
;sacar de quicio;doprowadzać do szału (negatywnie);;;
;sacrificar;ofiarowywać, poświęcać;;;
;sacudir;trzepać, wstrząsać;;;
;salir ;wychodzić ;;;
;salivar;ślinić się;;;
;saltar ;skakać ;;;
;salucionar;rozwiązywać;;;
;saludar ;machać ręką, pozdrawiać;;;
;salvar;ratować;;;
;sancionar , castigar;karać;;;
;sanear;zrestrukturyzować;;;
;seducir;zwodzić, mamić;;;
;seguir ;podążać, kontynuować;;;
;sembrar;siać;;;
;sentar;siedzieć, leżeć, wpływać (dobrze źle);;;
